A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,C,A,A,A,A,C,C,C,C,C,A,A,A,A,A,A,A,C,A,C,A,C,A,A,A,A,A,A,A,A,A,A,A,C,A,C,C,C,A,A,N,N,N,N,N,N,N
80,92.4,104,230,105,53.7,91,83,845.4,262,163,128.4,284.3,119,191.6,93,85.8,130,284.2,116.2,78.1,294.6,135.8,85,106.2,110,85.8,121.7,129,102.5,95.3,90.2,89.1,72.8,108,133.2,76,141.7,77.4,149,78,149.1,174.9,246.5,66.2,219.6,197.1,90,71.1,299.8,339.1,277.5,133.5,78.1,68,79.8,57,108,170.8,88,89.1,77.2,198.4,106.2
26,96.9,72.8,176,78.1,36.7,91,78,126.6,99,76.4,54.1,236.3,42.6,86,41.4,42.6,90.2,84.4,67.6,52.8,74.8,89,94.7,59.3,80.3,24.3,99.8,121,33,25,13.7,70.2,30.5,228.3,125,27.2,52.6,216.2,123,11.8,81.6,127.8,112,24.1,61,43.5,19.1,60.4,401.6,204,309.4,219.2,3,27.2,37.8,7.9,103.5,100.5,72.8,118,54.9,110.7,164
150,177.8,228.7,511.3,233.9,393.6,165.5,922.6,651,866.5,193,149,113,918.4,342,167.4,122.3,222.1,272.7,188.9,158,834.5,142.8,408.2,882.8,170.2,355.5,255,196,253.1,180.2,234.8,491,180.4,2485.2,272.9,104,128,612.5,675.7,148,150.4,192.1,183.3,71.6,792.9,467,114.4,214.9,513.3,515.5,1026.4,471.4,132.3,110.7,180.6,64.3,161.4,292.1,109.8,325.9,173.1,282.2,264
340.2,515.8,540.8,523.9,602.7,160.5,442.5,340.4,769.4,473.8,330.3,312.3,405.3,703.4,434.5,292.3,286.2,1054.4,362.6,177.4,56.2,537.8,467.7,458.9,452.9,356.8,144,785.6,449.5,783.3,614.4,602,720.8,469.7,1204.7,516.5,413.5,1232.7,1061.5,600.2,467.1,134.7,522.3,426.3,84.2,253.5,448.8,274.2,347.1,532.1,3042.7,393.5,506.9,521.8,425.1,442.8,373.9,347.2,702.8,643.8,429.4,622.7,507.9,529
-16.3,18,26,32,24.3,27,29,18.5,-8,43.3,19.8,-6.5,25.5,-5.3,19.8,9,21.8,22.2,12,40,4.2,12.2,26,27,-24,33.8,-2,73,46,19.6,-0.6,6,3.7,9,-1.1,-30.7,34.8,32,69.9,12.5,6,20,-16.3,9.8,220.3,15.3,14,5.7,14,83.2,84.7,27.8,97.2,-3,18.5,-12.8,26.5,3.9,-1.7,19.3,-4,-1.8,-16.4,3
225.7,296.6,264.1,664.2,471.6,407.3,410.2,544.1,274.2,281.3,232,277,263.9,410.2,212.4,211.9,268.5,402.6,166,279,283.5,438,296.3,382.8,495.5,236.6,357.2,538.9,161.7,354.9,358.9,236.6,333.8,251.2,524.6,293.2,310.5,371.6,420,484.5,286.4,387.1,337.3,209.8,66.2,245.9,392.7,223.9,295,363,607.4,382.1,178,202.2,230.6,345.9,115.7,248.7,377.2,363,318.8,502.8,323.6,381.6
23.5,48.5,-10,-17.1,20,-4.4,-22.6,75,-43.2,-25.5,-1.5,-49.3,-36,62.3,-43.1,41.4,-12.2,14.8,-59.4,62.7,68.5,-64.7,-43.2,29,37.6,60.2,-7.2,37.8,-4.2,46,25,17,-23.4,-68.1,-93.7,-58.8,52.7,-63.3,32,74.6,27.5,74,-46.5,55.1,-114.6,29.4,32.9,-47.8,21,14.4,-6.9,-66,-68.9,-5,-45.3,-1,-504.3,40,-34.4,13.7,57,45,23.5,70.4
69.4,60.4,56.4,295,78.1,94.2,91,112,66.2,83.5,57,12.5,144,53.7,67.6,108,61.6,65,130.9,151.5,151.5,64,74.6,143,111.3,186,46.4,122.6,67,41,105.3,79,66.8,62,88,190.9,80.3,59,148.7,157,21,133.5,118,55.1,8,196.4,125.6,27.5,14,270.5,425.4,223,157,79,53.4,88,9.9,35.5,132.2,151.9,112.6,69.4,180.4,118.9
207.6,151.5,145.9,607.2,300.7,411,239.7,375.3,259.8,224,368.6,174,398.5,288,229.7,214.1,154.8,346.3,348,413.3,416.3,281.4,238.2,356.7,266.8,350.9,171.9,535.8,108,105.3,278.5,165,260.6,117.2,415.5,229.7,420.5,172.9,364.2,283.1,251.8,290.1,355.3,344.3,70.8,305.8,774.9,140.8,185.6,839.1,836.4,411,497.9,259.7,202,196.9,108,186,273,193.6,233.4,153.6,219.4,223
515.1,819.1,674.4,1388.1,732.1,959.1,1022.1,570.8,2734,1029.6,1254.8,756.7,1084,769.8,804.9,488.2,942.6,676.8,989,991.5,518.8,874.9,594.4,703.5,729.4,595.3,698.6,767.9,981.5,625.7,743.2,547.8,777.5,805.9,1253.3,681.4,697.6,666.9,795.3,981.4,736.3,898.4,991.3,828.9,3440.9,1224.3,896.3,765.9,918.8,1491.3,1393.7,1650.1,997.2,533.5,669.4,718.7,1250,424.1,1070.3,599.3,578.8,515.9,634,873.9
